Orbit,,E_sched [m],N_work^,_work^,_crit,t_grav/t_crit,"res. (w,c)",N range
,1.50,3.0,127,6.387,2.936,1.24,"n,n",90-290
lhs_13,1.00,105.3,92,0.106,0.133,0.78,"y,y",60-250
,1.10,64.5,107,0.073,0.218,0.87,"y,y",70-280
,1.20,22.3,116,0.579,0.630,1.00,"n,n",80-290
,1.30,11.5,124,1.278,1.223,1.08,"n,n",80-290
,1.50,34.1,140,0.035,0.412,1.30,"n,n",90-290
lhs_14,1.00,75.6,99,0.839,0.084,0.71,"n,y",60-250
,1.10,115.1,115,0.310,0.055,0.88,"y,y",70-280
,1.20,49.3,124,0.788,0.129,1.11,"n,y",80-290
,1.30,6.1,134,1.228,1.038,1.14,"n,n",80-290
,1.50,4.7,151,2.280,1.352,1.34,"n,n",90-290
lhs_15,1.00,46.7,123,0.372,0.112,0.64,"n,n",60-250
,1.10,49.4,140,0.331,0.106,0.72,"y,y",70-280
,1.20,2.5,153,3.760,2.075,0.81,"n,n",80-290
,1.30,45.9,166,0.119,0.114,0.91,"n,n",80-290
,1.50,11.7,191,0.059,0.445,1.15,"n,n",90-290
lhs_16,1.00,101.8,73,0.107,0.170,0.82,"y,y",60-250
,1.10,47.7,84,0.345,0.364,0.97,"y,n",70-280
,1.20,30.7,92,0.788,0.565,1.08,"n,n",80-290
,1.30,32.4,97,0.293,0.535,1.16,"n,n",80-290
,1.50,42.0,111,0.044,0.413,1.37,"n,n",90-290
lhs_17,1.00,384.1,80,0.083,0.061,0.84,"y,y",60-250
,1.10,157.7,93,0.278,0.150,0.94,"y,y",70-280
,1.20,119.7,101,0.252,0.197,1.06,"n,y",80-290
,1.30,13.0,107,0.718,1.816,1.14,"n,n",80-290
,1.50,12.2,122,1.445,1.940,1.38,"n,n",90-290
